danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.495,0.969,2,-4.994,1,0.0427,0.00399,2.55e-05,0.404,0.966,156.135,229240,4
0.5,0.552,9,-11.487,1,0.0271,0.484,0.00116,0.292,0.876,95.264,309387,4
0.568,0.834,4,-11.701,1,0.0422,0.159,0.0124,0.0845,0.601,106.703,261560,4
0.691,0.936,2,-6.363,1,0.0617,0.255,0.000478,0.382,0.794,128.324,273787,4
0.561,0.811,4,-6.157,1,0.0265,0.00515,3.6e-05,0.287,0.635,126.593,233270,4
0.621,0.88,7,-7.213,1,0.043,0.302,0.0,0.17,0.522,128.215,172573,4
0.514,0.766,0,-5.894,1,0.0276,0.00396,2.09e-06,0.0849,0.754,135.877,184360,4
0.48,0.776,2,-5.65,1,0.0432,0.334,0.000217,0.133,0.95,171.135,313027,4
0.347,0.803,9,-4.923,1,0.0416,0.209,4.36e-06,0.116,0.672,85.362,281453,4
0.601,0.84,9,-3.828,1,0.0509,0.0232,0.0,0.0569,0.896,130.811,145311,4
0.602,0.774,0,-13.083,1,0.0338,0.0312,5.68e-05,0.0497,0.971,135.125,252427,4
0.417,0.793,7,-13.533,1,0.0706,0.103,0.128,0.167,0.422,110.386,323733,4
0.788,0.54,9,-8.897,1,0.0512,0.0777,0.0419,0.287,0.835,147.836,247293,4
0.266,0.389,4,-13.682,1,0.0305,0.244,1.42e-06,0.0688,0.148,140.243,256173,4
0.45,0.888,9,-6.119,1,0.0398,0.0065,0.479,0.759,0.674,118.469,334773,4
0.845,0.447,2,-11.897,0,0.049,0.47,0.0,0.0782,0.953,119.457,244307,4
0.789,0.494,1,-13.702,1,0.0456,0.0923,0.000408,0.144,0.826,104.593,175240,4
0.65,0.449,0,-7.555,1,0.0281,0.00312,1.94e-05,0.548,0.699,89.641,224560,4
0.68,0.967,4,-2.771,1,0.0664,0.0661,1.75e-06,0.0808,0.895,115.748,219813,4
0.523,0.411,0,-13.371,0,0.0749,0.0637,1.28e-06,0.047,0.277,105.659,166360,4
0.387,0.886,4,-6.981,1,0.0617,5.83e-05,0.275,0.219,0.757,176.426,227400,4
0.49,0.724,2,-9.581,1,0.0366,0.00976,0.0046,0.159,0.292,125.812,337506,4
0.461,0.906,9,-4.369,1,0.0356,0.0299,0.0104,0.319,0.939,152.206,141093,4
0.491,0.883,4,-4.986,0,0.0306,0.000736,3.19e-05,0.369,0.518,131.75,281853,4
0.742,0.598,9,-11.341,1,0.0257,0.266,0.464,0.0898,0.961,107.664,324800,4
0.49,0.82,11,-8.336,0,0.0365,0.233,6.43e-06,0.0349,0.948,177.152,219827,4
0.326,0.872,2,-7.602,1,0.122,0.214,0.0,0.461,0.492,173.381,508333,4
0.676,0.292,11,-14.448,1,0.34,0.723,0.00189,0.433,0.649,74.798,204187,4
0.654,0.929,1,-5.906,1,0.0998,0.0468,0.0,0.0539,0.902,144.774,168840,4
0.459,0.727,0,-11.777,1,0.0303,0.00614,0.0652,0.384,0.955,149.231,292173,1
0.622,0.559,7,-10.562,1,0.0413,0.119,7.94e-05,0.132,0.946,129.836,206800,4
0.644,0.829,8,-4.399,1,0.0512,0.00269,0.00447,0.0794,0.461,115.883,233347,4
0.313,0.827,8,-8.009,1,0.134,0.0681,0.229,0.65,0.814,177.927,250627,4
0.479,0.944,9,-5.167,1,0.115,0.00206,0.0283,0.356,0.572,153.45,163800,4
0.535,0.716,4,-5.025,1,0.0431,0.326,0.0,0.659,0.901,94.379,175173,4
0.741,0.388,10,-16.693,1,0.031,0.384,0.0235,0.0933,0.589,126.819,382373,4
0.566,0.521,7,-11.824,1,0.0321,0.514,0.000288,0.116,0.468,129.167,299827,4
0.54,0.83,4,-4.997,0,0.0348,0.151,2.8e-06,0.589,0.553,112.469,250067,4
0.678,0.693,1,-6.133,1,0.0249,0.0139,0.0,0.0596,0.623,107.415,217707,4
0.658,0.981,2,-3.065,1,0.0896,0.0883,0.156,0.358,0.559,125.479,99222,4
0.441,0.97,1,-2.1,0,0.0708,0.192,1.68e-06,0.312,0.5,128.289,172671,4
0.633,0.748,9,-9.879,1,0.069,0.16,0.000122,0.0795,0.765,122.485,229160,4
0.617,0.931,0,-6.845,1,0.0345,0.186,0.00166,0.171,0.849,131.014,208027,4
0.298,0.895,9,-7.647,0,0.0547,0.0283,0.00574,0.305,0.544,173.737,368507,4
0.399,0.645,1,-5.356,1,0.0271,0.112,0.000551,0.255,0.384,82.795,355798,4
0.37,0.515,2,-9.487,0,0.0321,0.0233,0.205,0.0966,0.42,115.732,467320,4
0.327,0.816,9,-7.987,0,0.0788,0.148,4.36e-06,0.0531,0.316,125.41,285000,4
0.554,0.923,9,-5.762,1,0.0767,0.044,0.0,0.133,0.617,129.099,176160,4
0.66,0.485,2,-8.101,1,0.0258,0.242,0.0102,0.0585,0.829,99.828,302520,4
0.604,0.614,9,-7.087,1,0.0317,0.0853,0.00403,0.108,0.592,129.137,242893,4
0.752,0.684,0,-7.599,1,0.15,0.0994,0.0,0.0897,0.539,141.075,176440,4
0.544,0.84,0,-10.409,1,0.0627,0.25,0.0,0.167,0.743,79.264,212000,4
0.785,0.737,9,-5.306,1,0.0363,0.042,0.000107,0.108,0.971,125.447,218960,4
0.456,0.933,0,-5.212,1,0.153,0.375,0.0,0.563,0.367,125.051,165800,4
0.365,0.77,9,-10.492,1,0.0764,0.21,0.136,0.503,0.37,130.603,214640,4
0.702,0.779,5,-12.267,1,0.0412,0.0561,0.0905,0.303,0.949,98.7,351507,4
