danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.419,0.856,2,-5.443,1,0.0298,0.00928,0.0964,0.124,0.721,152.009,168493,4
0.17,0.927,7,-5.859,1,0.0921,0.000251,5.09e-06,0.33,0.574,200.194,170760,4
0.782,0.444,5,-7.081,1,0.0489,0.00904,0.0101,0.0887,0.882,104.975,202000,4
0.487,0.741,7,-4.724,0,0.0365,0.0014,0.000332,0.104,0.236,110.005,308040,4
0.428,0.947,10,-8.516,0,0.0751,0.000679,0.0563,0.262,0.223,102.335,302360,4
0.209,0.412,0,-9.733,1,0.0443,0.172,0.15,0.0843,0.162,86.26,305747,3
0.409,0.805,1,-7.668,1,0.0296,0.000777,0.796,0.146,0.351,97.111,268733,4
0.748,0.767,11,-7.806,0,0.172,0.0267,0.0,0.334,0.519,133.929,222200,4
0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-05,0.0419,0.868,103.032,243733,4
0.47,0.79,2,-5.352,1,0.039,0.0216,0.0,0.0863,0.495,158.061,276880,4
0.424,0.981,10,-2.749,1,0.163,0.000537,0.0,0.357,0.0992,149.955,243600,4
0.228,0.969,6,-4.07,0,0.1,0.000275,0.0,0.0982,0.428,155.212,187960,4
0.295,0.742,9,-7.909,1,0.0281,0.429,0.00218,0.254,0.491,158.404,128917,4
0.568,0.844,9,-5.875,1,0.0505,0.000189,0.0,0.0607,0.766,116.046,207093,4
0.672,0.841,9,-5.992,0,0.0285,0.0767,0.0,0.135,0.82,125.437,267733,4
0.66,0.867,6,-4.285,0,0.116,0.11,0.0,0.0368,0.377,93.033,180480,4
0.774,0.684,1,-4.721,0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,236827,4
0.666,0.871,1,-5.781,0,0.416,0.435,0.0,0.477,0.237,89.207,579293,4
0.75,0.604,9,-7.493,1,0.0317,0.00484,0.000275,0.243,0.727,120.017,233133,4
0.68,0.702,1,-9.621,0,0.0267,0.0838,1.79e-06,0.326,0.509,154.198,305773,4
0.526,0.936,8,-4.576,1,0.263,0.316,0.000384,0.261,0.283,81.305,234487,4
0.494,0.439,2,-11.16,1,0.0577,0.23,0.00689,0.0966,0.487,70.049,307067,4
0.27,0.83,7,-4.592,1,0.0741,0.00956,0.434,0.142,0.205,117.314,196560,4
0.453,0.95,2,-4.429,0,0.109,3.26e-05,0.0565,0.265,0.342,160.058,204187,4
